2025-02-26 13:06:46,260 data_to_fw.py ERROR: File /home/factana/object_tracking/order_status_payloads/.gitkeep is empty. Removing.
2025-02-26 13:13:57,373 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63bd60>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:01,070 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63ba60>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:05,083 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac5aca90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:08,789 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac6448e0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:12,482 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac5c4ee0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:16,186 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63bb20>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:20,183 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63bfa0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:23,883 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac5ac7c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:27,583 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffacee1ee0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:31,275 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac617ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:35,269 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffacee1fd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:38,966 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac5ac7c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:42,658 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63b400>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:46,355 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63bf70>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:14:50,379 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac644970>: Failed to establish a new connection: [Errno 111] Connection refused'))
